Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,prot__0,prot__6,prot__17,target
1755478,3,4,20.0,964.0,20.0,0.0,6.666666667,11.54700538,964.0,0.0,241.0,482.0,560.5310918,3.98751793,292579.6667,716508.254,1755146.0,5.0,304.0,152.0,182.4335495,281.0,23.0,1755473.0,585157.6667,1013239.629,1755146.0,21.0,0,0,0,0,72,92,1.708936256,2.278581674,0.0,964.0,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1.0,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,6
4,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,250000.0,250000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,1
387088,24,20,1912,2665,640,0,79.6666666667,133.8339875812,976,0,133.25,268.7712537496,11824.1846815194,113.6692431695,9002.0465116279,22203.7368615473,129521,4,386929,16823.0,31003.6187360004,129521,240,387080,20372.6315789474,42310.1594054227,168583,7,0,0,0,0,776,648,62.0014053652,51.6678378043,0,976,101.7111111111,203.7371995112,41508.8464646465,0,0,0,1,0,0,0,0,0,104.0227272727,79.6666666667,133.25,0,0,0,0,0,0,24,1912,20,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,1
452,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4424.778761,452.0,0.0,452.0,452.0,452.0,452.0,0.0,452.0,452.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,4424.778761,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,5
1093,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2744.7392497713,546.5,764.3824304627,1087,6,1093,546.5,764.3824304627,1087,6,0,0.0,0.0,0,0,0,0,0,0,60,0,2744.7392497713,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,2053,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,3
60497,2,0,0,0,0,0,0,0,0,0,0,0,0,33.05949055,60497,0,60497,60497,60497,60497,0,60497,60497,0,0,0,0,0,0,0,0,0,64,0,33.05949055,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,0,1,0,2
1781125,3,4,20.0,964.0,20.0,0.0,6.666666667,11.54700538,964.0,0.0,241.0,482.0,552.4598217,3.930100358,296854.1667,726874.7544,1780581.0,3.0,486.0,243.0,339.411255,483.0,3.0,1781112.0,593704.0,1027865.662,1780581.0,24.0,0,0,0,0,72,92,1.684328725,2.245771633,0.0,964.0,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1.0,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,6
56376637,153,104,54995,72488,646,0,359.4444444444,271.4171844443,1068,0,697.0,368.2437194213,2261.2735839493,4.5586259429,220221.23828125,413369.731319746,1129245,4,56374739,370886.440789474,482070.737935323,1129245,309,56376633,547345.951456311,556113.502100989,1181463,36,0,0,0,0,3072,2092,2.7138901528,1.8447357901,0,1068,494.1201550388,355.4163737592,126320.798736163,0,0,1,1,0,0,0,1,0,496.0428015564,359.4444444444,697.0,0,0,0,0,0,0,153,54995,104,72488,8192,1228,101,20,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,3
17,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,117647.058823529,17.0,0.0,17,17,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,58823.5294117647,58823.5294117647,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,1
33278,2,0,0,0,0,0,0,0,0,0,0,0,0,60.09976561,33278,0,33278,33278,33278,33278,0,33278,33278,0,0,0,0,0,0,0,0,0,64,0,60.09976561,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,0,1,0,2
