Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,protocol__0,protocol__6,protocol__17,target
551,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3629.7640653358,551.0,0.0,551,551,551,551.0,0.0,551,551,0,0.0,0.0,0,0,0,0,0,0,40,0,3629.7640653358,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2053,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,3
112638867,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266337906,56319433.5,1679.3786053181,56320621,56318246,112638867,56319433.5,1679.3786053181,56320621,56318246,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266337906,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56319433.5,1679.3786053181,56320621,56318246,1,0,0,3
8966,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,50747.26745,780.7271916,1494.333333,3247.898069,8113.0,2.0,551.0,275.5,316.0767312,499.0,52.0,8488.0,2829.333333,4579.548049,8113.0,2.0,0,0,0,0,72,92,334.5973678,446.1298238,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,5
111816159,17,23,2872,1709,1460,0,168.9411764706,474.9482169916,428,0,74.3043478261,165.5822879149,40.9690338227,0.3577300487,2867081.0,4528879.19303495,10014914,0,111701343,6981333.9375,4748598.91951397,10187348,109366,111775969,5080725.86363636,5149162.5278218,10140432,0,0,0,0,0,340,592,0.1520352707,0.205694778,0,1460,111.756097561,328.3488069483,107812.93902439,0,0,0,0,1,0,0,0,1,114.55,168.9411764706,74.3043478261,0,0,0,0,0,0,17,2872,23,1709,300,5565,12,20,155612.0,141511.297322864,578105,63064,9999055.54545455,23491.7691516143,10014914,9952970,0,1,0,0
369756,22,22,1976,2665,640,0,89.8181818182,138.0336868351,976,0,121.1363636364,258.6415602914,12551.5204621426,118.9973928753,8598.9767441861,15173.11064019,51674,5,369711,17605.2857142857,23546.6263382737,91328,302,369747,17607.0,26927.3734552778,110184,8,0,0,0,0,712,712,59.4986964377,59.4986964377,0,976,103.1333333333,203.7484634633,41513.4363636364,0,0,0,1,0,0,0,0,1,105.4772727273,89.8181818182,121.1363636364,0,0,0,0,0,0,22,1976,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,1
314463,22,22,1912,2665,640,0,86.9090909091,137.6880217811,976,0,121.1363636364,258.6415602914,14554.9714910816,139.9210717954,7313.0930232558,16170.2516336606,69638,7,314377,14970.3333333333,22496.4972014163,69638,224,314443,14973.4761904762,35738.3387059598,131585,28,0,0,0,0,712,712,69.9605358977,69.9605358977,0,976,101.7111111111,203.7371995112,41508.8464646465,0,0,0,1,0,0,0,0,1,104.0227272727,86.9090909091,121.1363636364,0,0,0,0,0,0,22,1912,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,1
10072,3,4,266.0,935.0,266.0,0.0,88.66666667,153.5751716,935.0,0.0,233.75,467.5,119241.4615,694.9960286,1678.666667,3744.597424,9313.0,3.0,9585.0,4792.5,6392.952409,9313.0,272.0,10066.0,3355.333333,5396.978259,9582.0,21.0,0,0,0,0,72,92,297.8554408,397.1405878,0.0,935.0,150.125,330.5149391,109240.125,0,0,1,1,0,0,0,1,1.0,171.5714286,88.66666667,233.75,0,0,0,0,0,0,3,266,4,935,65535,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,6
107678232,14,3,2530,0,230,0,180.7142857143,97.9375221341,0,0,0.0,0.0,23.4959281278,0.1578777779,6729889.5,13939845.4238744,53247414,4,107678218,8282939.84615385,15131541.0013382,53247414,122,107678228,53839114.0,32299520.5358872,76678324,30999904,0,0,0,0,456,100,0.1300169936,0.0278607843,0,230,140.5555555556,115.375204912,13311.4379084967,0,0,0,1,0,0,0,0,0,148.8235294118,180.7142857143,0.0,0,0,0,0,0,0,14,2530,3,0,26883,0,11,32,5516265.0,1837097.35864815,6815289,4217241,24161422.0,20580620.3176543,53247414,6655979,0,1,0,2
9980,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,45591.18236,701.4028056,1663.333333,3641.273221,9087.0,21.0,494.0,247.0,274.3574311,441.0,53.0,9560.0,3186.666667,5114.255208,9087.0,24.0,0,0,0,0,72,92,300.6012024,400.8016032,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,5
3920213,10,7,1148,1581,677,0,114.8,210.0924664,1173,0,225.8571429,430.0986044,696.1356436,4.336499063,245013.3125,306627.4878,953189,51,3920213,435579.2222,407745.6477,1284164,293,3645219,607536.5,431962.6837,1312132,243216,0,0,0,0,212,152,2.550881802,1.785617261,0,1173,151.6111111,305.0826578,93075.4281,0,0,0,1,0,0,0,0,0,160.5294118,114.8,225.8571429,0,0,0,0,0,0,10,1148,7,1581,8192,62852,5,20,0,0,0,0,0,0,0,0,0,1,0,4
